cath,development_split,evaluation,reference,weighting,denominator,mean_max_tanimoto,q05,q25,median,q75,q95,fraction_ge_0.3,fraction_ge_0.4,fraction_ge_0.5,fraction_ge_0.6,fraction_ge_0.7,fraction_ge_0.8,fraction_ge_0.9,fraction_ge_1.0
2.60.40.10,random,validation,train,unique_canonical_ligands,15792,0.9701731779184289,0.75,1.0,1.0,1.0,1.0,0.9993667679837892,0.9961372847011145,0.9910081053698075,0.9819528875379939,0.9663753799392097,0.9317375886524822,0.8941869300911854,0.8871580547112462
2.60.40.10,random,validation,train,rows,21211,0.9775212854751861,0.7936507936507936,1.0,1.0,1.0,1.0,0.9995285465088869,0.9970769883550987,0.9932582150770827,0.9865164301541653,0.974777238225449,0.9485644241195607,0.920041487907218,0.9147612088067513
3.10.200.10,both,cath_lso_test,development,unique_canonical_ligands,6570,0.4358513860847034,0.27857439302759907,0.3548387096774194,0.4142857142857143,0.4878048780487805,0.6484234234234231,0.9229832572298325,0.565144596651446,0.22876712328767124,0.0791476407914764,0.03592085235920852,0.02359208523592085,0.019634703196347032,0.019482496194824964
3.10.200.10,both,cath_lso_test,development,rows,95479,0.45735290701451675,0.3125,0.38,0.43902439024390244,0.5,0.6363636363636364,0.9656678431906492,0.6787565852176919,0.29261931943149805,0.08085547607327266,0.03370374637354811,0.024539427518092984,0.022193361891096473,0.022182888383833095
3.10.200.10,composite_scaffold,validation,train,unique_canonical_ligands,12257,0.9118250898285811,0.5061868866448586,0.9016393442622951,1.0,1.0,1.0,0.9956759402790243,0.9780533572652362,0.952598515134209,0.9181692094313454,0.8657909765848086,0.7942400261075304,0.7505099127029452,0.7350901525658807
3.10.200.10,composite_scaffold,validation,train,rows,16332,0.9310560581927133,0.54860346184107,1.0,1.0,1.0,1.0,0.9966936076414401,0.9831006612784717,0.9633847661033553,0.9368723977467548,0.8957261817291208,0.838660298799902,0.8035758021062944,0.7915135929463629
3.10.200.10,random,validation,train,unique_canonical_ligands,14088,0.9646142574046048,0.7323943661971831,1.0,1.0,1.0,1.0,0.9987932992617831,0.9942504258943782,0.987649063032368,0.9780664395229983,0.9598239636570131,0.9212805224304372,0.8748580352072686,0.8662691652470187
3.10.200.10,random,validation,train,rows,16332,0.9690676489675631,0.75,1.0,1.0,1.0,1.0,0.9989590987019349,0.9949791819740387,0.9892848395787411,0.9810188586823414,0.9647930443301495,0.9313005143277002,0.890521675238795,0.8828067597354886
3.30.565.10,both,cath_lso_test,development,unique_canonical_ligands,1596,0.3739451408292817,0.25329113924050634,0.30864197530864196,0.35,0.4,0.5474111519607843,0.7882205513784462,0.2581453634085213,0.08897243107769423,0.03320802005012531,0.023182957393483708,0.020050125313283207,0.019423558897243107,0.018170426065162906
3.30.565.10,both,cath_lso_test,development,rows,7882,0.38410980468080935,0.27472527472527475,0.3204194672641275,0.3584905660377358,0.4117647058823529,0.5576923076923077,0.8647551382897741,0.3091854859172799,0.09426541486932251,0.03222532352194874,0.017888860695255013,0.016620147170768842,0.016366404465871606,0.01535143364628267
3.30.565.10,composite_scaffold,validation,train,unique_canonical_ligands,14836,0.9108974658182188,0.5,0.8909090909090909,1.0,1.0,1.0,0.9949447290374764,0.9766783499595578,0.9524130493394446,0.9179698031814505,0.8641143165273659,0.7929361013750337,0.7471016446481531,0.7337557293070909
3.30.565.10,composite_scaffold,validation,train,rows,21557,0.9355827443870175,0.5652173913043478,1.0,1.0,1.0,1.0,0.9962889084752052,0.9831145335621839,0.9660435125481283,0.941503919840423,0.9025374588300784,0.8502110683304727,0.8163009695226608,0.8066521315581946
3.30.565.10,random,validation,train,unique_canonical_ligands,16144,0.9679230206051043,0.7441860465116279,1.0,1.0,1.0,1.0,0.9989469772051536,0.9952923686818632,0.9891600594648167,0.9807358771060456,0.9638255698711595,0.9269078295341923,0.886707135777998,0.8793979187314173
3.30.565.10,random,validation,train,rows,21557,0.9755604380460924,0.7833333333333333,1.0,1.0,1.0,1.0,0.9992113930509812,0.996474463051445,0.9918819872895115,0.9855731316973605,0.9725843113605789,0.9441944611958992,0.913392401540103,0.9078257642529108
3.40.190.10,both,cath_lso_test,development,unique_canonical_ligands,1184,0.5192299250510372,0.27635778275475925,0.3492063492063492,0.4392982456140351,0.6163759689922481,1.0,0.8978040540540541,0.6038851351351351,0.3657094594594595,0.2677364864864865,0.19425675675675674,0.15878378378378377,0.14358108108108109,0.13851351351351351
3.40.190.10,both,cath_lso_test,development,rows,2657,0.4855807717968853,0.28780303030303034,0.3484848484848485,0.41025641025641024,0.5,1.0,0.927738050432819,0.5370718855852465,0.2604441098983816,0.1874294316898758,0.14602935641701167,0.1260820474219044,0.11817839668799397,0.11592021076401957
3.40.190.10,composite_scaffold,validation,train,unique_canonical_ligands,14825,0.9140256824499982,0.5172413793103449,0.9252336448598131,1.0,1.0,1.0,0.9947386172006746,0.9786846543001686,0.955548060708263,0.9223608768971332,0.8731197301854975,0.7979089376053963,0.7555480607082631,0.739831365935919
3.40.190.10,composite_scaffold,validation,train,rows,21811,0.9385033014567797,0.5806451612903226,1.0,1.0,1.0,1.0,0.9963779744165788,0.9851451102654624,0.9689147677777268,0.9452111319976159,0.9092659667140434,0.855073128238045,0.8240795928659851,0.8124340928889092
3.40.190.10,random,validation,train,unique_canonical_ligands,16393,0.970592865446264,0.7553741496598639,1.0,1.0,1.0,1.0,0.9992069785884219,0.9954858781187093,0.9907277496492405,0.9819435124748368,0.967059110595986,0.9344232294271946,0.8959311901421338,0.8881229793204416
3.40.190.10,random,validation,train,rows,21811,0.977419667946225,0.7966101694915254,1.0,1.0,1.0,1.0,0.9994039704736142,0.9965155196918986,0.9928934941084774,0.9861537756178075,0.9748750630415846,0.9496584292329558,0.9199486497638806,0.9139883545000229
