cath,model,development,evaluation,threshold,n,value,extended_panel,configuration,cohort,operation,method,panel,figure_role
2.40.70.10,heavy_atom_count,composite,cath_lso_test,High,36510,0.586614987489,J,original,full,Training-only one-variable logistic regression,,D,SI
2.60.40.10,heavy_atom_count,composite,cath_lso_test,High,14709,0.596281186149,J,original,full,Training-only one-variable logistic regression,,D,SI
3.10.200.10,heavy_atom_count,composite,cath_lso_test,High,95479,0.577055675778,J,original,full,Training-only one-variable logistic regression,,D,SI
3.30.565.10,heavy_atom_count,composite,cath_lso_test,High,7882,0.627911167763,J,original,full,Training-only one-variable logistic regression,,D,SI
3.40.190.10,heavy_atom_count,composite,cath_lso_test,High,2657,0.596842657509,J,original,full,Training-only one-variable logistic regression,,D,SI
1.10.1300.10,deepdta,composite,validation,Weak+,21895,0.9419345943564088,,original,full,FP32 original,,E,
1.10.1300.10,deepdta,composite,validation,Weak+,21895,0.9245757336307627,,intervened,full,Logit additive projection,,E,
1.10.1300.10,deepdta,composite,validation,High,21895,0.9304038939269569,,original,full,FP32 original,,E,
1.10.1300.10,deepdta,composite,validation,High,21895,0.8893404794219173,,intervened,full,Logit additive projection,,E,
1.10.1300.10,deepdta,composite,cath_lso_test,Weak+,1108,0.7618957974756166,,original,full,FP32 original,,E,
1.10.1300.10,deepdta,composite,cath_lso_test,Weak+,1108,0.7699189615605279,,intervened,full,Logit additive projection,,E,
1.10.1300.10,deepdta,composite,cath_lso_test,High,1108,0.6107753737458822,,original,full,FP32 original,,E,
1.10.1300.10,deepdta,composite,cath_lso_test,High,1108,0.6038865000930489,,intervened,full,Logit additive projection,,E,
1.10.510.10,deepdta,composite,validation,Weak+,16433,0.9413449726518581,,original,full,FP32 original,,E,
1.10.510.10,deepdta,composite,validation,Weak+,16433,0.9244217839236477,,intervened,full,Logit additive projection,,E,
1.10.510.10,deepdta,composite,validation,High,16433,0.9366179646270021,,original,full,FP32 original,,E,
1.10.510.10,deepdta,composite,validation,High,16433,0.9005598422755756,,intervened,full,Logit additive projection,,E,
1.10.510.10,deepdta,composite,cath_lso_test,Weak+,109519,0.6551723600097252,,original,full,FP32 original,,E,
1.10.510.10,deepdta,composite,cath_lso_test,Weak+,109519,0.6586609000353265,,intervened,full,Logit additive projection,,E,
1.10.510.10,deepdta,composite,cath_lso_test,High,109519,0.6017994431741556,,original,full,FP32 original,,E,
1.10.510.10,deepdta,composite,cath_lso_test,High,109519,0.6025315567306385,,intervened,full,Logit additive projection,,E,
1.10.565.10,deepdta,composite,validation,Weak+,20827,0.9507187676916307,,original,full,FP32 original,,E,
1.10.565.10,deepdta,composite,validation,Weak+,20827,0.9295843999549342,,intervened,full,Logit additive projection,,E,
1.10.565.10,deepdta,composite,validation,High,20827,0.9412114520828306,,original,full,FP32 original,,E,
1.10.565.10,deepdta,composite,validation,High,20827,0.899719158530638,,intervened,full,Logit additive projection,,E,
1.10.565.10,deepdta,composite,cath_lso_test,Weak+,22467,0.6441917405874743,,original,full,FP32 original,,E,
1.10.565.10,deepdta,composite,cath_lso_test,Weak+,22467,0.6585668836496347,,intervened,full,Logit additive projection,,E,
1.10.565.10,deepdta,composite,cath_lso_test,High,22467,0.5716458837848879,,original,full,FP32 original,,E,
1.10.565.10,deepdta,composite,cath_lso_test,High,22467,0.5782920750171623,,intervened,full,Logit additive projection,,E,
1.20.920.10,deepdta,composite,validation,Weak+,21185,0.9574877111013773,,original,full,FP32 original,,E,
1.20.920.10,deepdta,composite,validation,Weak+,21185,0.9362123911033242,,intervened,full,Logit additive projection,,E,
1.20.920.10,deepdta,composite,validation,High,21185,0.9382025294622135,,original,full,FP32 original,,E,
1.20.920.10,deepdta,composite,validation,High,21185,0.893550480598605,,intervened,full,Logit additive projection,,E,
1.20.920.10,deepdta,composite,cath_lso_test,Weak+,13728,0.6490023290255578,,original,full,FP32 original,,E,
1.20.920.10,deepdta,composite,cath_lso_test,Weak+,13728,0.6543182124089546,,intervened,full,Logit additive projection,,E,
1.20.920.10,deepdta,composite,cath_lso_test,High,13728,0.6424307427539986,,original,full,FP32 original,,E,
1.20.920.10,deepdta,composite,cath_lso_test,High,13728,0.6435184453895562,,intervened,full,Logit additive projection,,E,
2.40.10.10,deepdta,composite,validation,Weak+,20971,0.9514035494052683,,original,full,FP32 original,,E,
2.40.10.10,deepdta,composite,validation,Weak+,20971,0.9294404345917805,,intervened,full,Logit additive projection,,E,
2.40.10.10,deepdta,composite,validation,High,20971,0.9332386712742525,,original,full,FP32 original,,E,
2.40.10.10,deepdta,composite,validation,High,20971,0.8920866943451937,,intervened,full,Logit additive projection,,E,
2.40.10.10,deepdta,composite,cath_lso_test,Weak+,18140,0.682610282886002,,original,full,FP32 original,,E,
2.40.10.10,deepdta,composite,cath_lso_test,Weak+,18140,0.6883275531568089,,intervened,full,Logit additive projection,,E,
2.40.10.10,deepdta,composite,cath_lso_test,High,18140,0.6416448293791116,,original,full,FP32 original,,E,
2.40.10.10,deepdta,composite,cath_lso_test,High,18140,0.6517490969569246,,intervened,full,Logit additive projection,,E,
2.40.70.10,deepdta,composite,validation,Weak+,20070,0.9455172799182973,,original,full,FP32 original,,E,
2.40.70.10,deepdta,composite,validation,Weak+,20070,0.9291646995725383,,intervened,full,Logit additive projection,,E,
2.40.70.10,deepdta,composite,validation,High,20070,0.9296134593877052,,original,full,FP32 original,,E,
2.40.70.10,deepdta,composite,validation,High,20070,0.8929766096210419,,intervened,full,Logit additive projection,,E,
2.40.70.10,deepdta,composite,cath_lso_test,Weak+,36510,0.7571820636699059,,original,full,FP32 original,,E,
2.40.70.10,deepdta,composite,cath_lso_test,Weak+,36510,0.7711835161036996,,intervened,full,Logit additive projection,,E,
2.40.70.10,deepdta,composite,cath_lso_test,High,36510,0.6258899381115591,,original,full,FP32 original,,E,
2.40.70.10,deepdta,composite,cath_lso_test,High,36510,0.6279283643105549,,intervened,full,Logit additive projection,,E,
2.60.40.10,deepdta,composite,validation,Weak+,21211,0.9488305610448093,,original,full,FP32 original,,E,
2.60.40.10,deepdta,composite,validation,Weak+,21211,0.9325944620767828,,intervened,full,Logit additive projection,,E,
