cath,model,development,evaluation,threshold,n,positives,positive_fraction,auc,auc_from_logits,average_precision,brier,ece,bce,ordinal_violation_fraction,world_size,optimizer_batch
2.60.40.10,deepdta,composite,cath_lso_test,Weak+,14709,13927,0.9468352709225644,0.6489455797741126,0.6489455797741126,0.9634907467255424,0.06981161294383706,0.06569568592144773,0.2954067650790553,0.0,8,65536
2.60.40.10,deepdta,composite,cath_lso_test,High,14709,8676,0.5898429532939017,0.547320840342004,0.547320840342004,0.6319558675145449,0.36805874650145737,0.32090612817666936,1.1970250644889908,0.0,8,65536
2.60.40.10,deepdta,random,validation,Weak+,21211,19646,0.9262175286407995,0.9841055858015957,0.9841699519189332,0.9984839562965662,0.01824896755634894,0.010627132741415826,0.07633223689621432,0.0,8,65536
2.60.40.10,deepdta,random,validation,High,21211,11719,0.5524963462354439,0.9819171988019644,0.9819172707206436,0.9851649763429124,0.04956080413138683,0.0204438972429122,0.18429560966112582,0.0,8,65536
2.60.40.10,deepdta,random,cath_lso_test,Weak+,14709,13927,0.9468352709225644,0.6366104350837771,0.6366107564525806,0.9602623362618395,0.07436500594849367,0.07533451441778913,0.39588067382087777,0.0,8,65536
2.60.40.10,deepdta,random,cath_lso_test,High,14709,8676,0.5898429532939017,0.5593390150086619,0.5593390150086619,0.6288697521546703,0.41177877669852175,0.38665993332920484,1.7854586317710934,0.0,8,65536
2.60.40.10,transformerdta,composite,validation,Weak+,21211,18967,0.8942058365942199,0.9692733753633646,0.969273539829521,0.9958099711559423,0.036210266448402945,0.01838349211732886,0.13908831327226098,0.00037716279289048136,4,4096
2.60.40.10,transformerdta,composite,validation,High,21211,10615,0.5004478808165574,0.971949719470389,0.9719496527898173,0.9729740918350775,0.06537660815162108,0.026435746405747626,0.2324284509212361,0.00037716279289048136,4,4096
2.60.40.10,transformerdta,composite,cath_lso_test,Weak+,14709,13927,0.9468352709225644,0.6943856135490557,0.694387587671705,0.9706043378632137,0.06495406738607845,0.05731178861485274,0.31465438625987,6.798558705554423e-05,4,4096
2.60.40.10,transformerdta,composite,cath_lso_test,High,14709,8676,0.5898429532939017,0.6055266229376054,0.6055266229376054,0.6705844077200266,0.33632913595474356,0.29257014083340527,1.2439854739291554,6.798558705554423e-05,4,4096
2.60.40.10,transformerdta,random,validation,Weak+,21211,19646,0.9262175286407995,0.992114792855914,0.992114792855914,0.9993086412325042,0.013116713884150111,0.008175223596900106,0.054428288463359474,0.004997407005798878,8,8192
2.60.40.10,transformerdta,random,validation,High,21211,11719,0.5524963462354439,0.9921257182024056,0.9921257182024056,0.9934739736010013,0.032084739918090535,0.015661572709288078,0.12463867103541876,0.004997407005798878,8,8192
2.60.40.10,transformerdta,random,cath_lso_test,Weak+,14709,13927,0.9468352709225644,0.665495705870049,0.6654829429375716,0.9681147476885545,0.0725918551658876,0.06932812758941671,0.39896364672246004,6.798558705554423e-05,8,8192
2.60.40.10,transformerdta,random,cath_lso_test,High,14709,8676,0.5898429532939017,0.5868507173967186,0.5868507651592284,0.6662856486043622,0.3851053732843807,0.3531879188841072,1.8132866146475155,6.798558705554423e-05,8,8192
3.10.200.10,deepdta,composite,validation,Weak+,16332,14511,0.8885011021307861,0.9355368691311872,0.9355368691311873,0.9903792382763227,0.055168805562412035,0.0296782511644087,0.1999665490843098,0.0,8,65536
